No,Nama Produk,Brand,Jenis Kulit,Masalah Kulit,Kandungan Utama,Alcohol-Free,Fragrance-Free,Non-Comedogenic,Oil Control,Hydrating,Brightening,Anti Acne,Soothing,Anti Aging,Cocok,Image
18,10% Vitamin C Ferulic Acid Radiant Charge Serum,Wardah,Kulit Sensitif,"Hiperpigmentasi, Kusam","10% Vitamin C, Ferulic Acid",1,0,1,0,1,1,1,1,1,NO,C:\project\static\Images\Serum\Wardah 10% Vitamin C Ferulic Acid Radiant Charge Serum.png
19,Perfect Bright Super-Glow Berry Serum,Wardah,Kulit Normal,"Kusam, Bekas jerawat, Warna kulit tidak rata","4x Bright Berries, 3 Types of Hyaluronic Acid",1,0,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Perfect Bright Super-Glow Berry Serum.png
20,Perfect Bright Super-Glow Berry Serum,Wardah,Kulit Kering,"Kusam, Bekas jerawat, Warna kulit tidak rata","4x Bright Berries, 3 Types of Hyaluronic Acid",1,0,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Perfect Bright Super-Glow Berry Serum.png
21,Perfect Bright Super-Glow Berry Serum,Wardah,Kulit Kombinasi,"Kusam, Bekas jerawat, Warna kulit tidak rata","4x Bright Berries, 3 Types of Hyaluronic Acid",1,0,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Perfect Bright Super-Glow Berry Serum.png
22,Perfect Bright Super-Glow Berry Serum,Wardah,Kulit Berminyak,"Kusam, Bekas jerawat, Warna kulit tidak rata","4x Bright Berries, 3 Types of Hyaluronic Acid",1,0,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Perfect Bright Super-Glow Berry Serum.png
23,Perfect Bright Super-Glow Berry Serum,Wardah,Kulit Berjerawat,"Kusam, Bekas jerawat, Warna kulit tidak rata","4x Bright Berries, 3 Types of Hyaluronic Acid",1,0,1,1,1,1,1,1,1,YES,C:\project\static\Images\Serum\Wardah Perfect Bright Super-Glow Berry Serum.png
24,Perfect Bright Super-Glow Berry Serum,Wardah,Kulit Sensitif,"Kusam, Bekas jerawat, Warna kulit tidak rata","4x Bright Berries, 3 Types of Hyaluronic Acid",1,0,1,1,1,1,1,1,1,NO,C:\project\static\Images\Serum\Wardah Perfect Bright Super-Glow Berry Serum.png
25,Acnederm Acne Care Serum,Wardah,Kulit Normal,"Jerawat, Minyak berlebih, Bekas jerawat, Kusam, Kemerahan pada kulit","5% Azeclair™, 0.5% Salicylic Acid, Tea Tree Oil, Hyaluronic Acid, Allantoin",1,1,1,1,1,1,1,1,0,YES,C:\project\static\Images\Serum\Wardah Acnederm Acne Care Serum.png
26,Acnederm Acne Care Serum,Wardah,Kulit Kering,"Jerawat, Minyak berlebih, Bekas jerawat, Kusam, Kemerahan pada kulit","5% Azeclair™, 0.5% Salicylic Acid, Tea Tree Oil, Hyaluronic Acid, Allantoin",1,1,1,1,1,1,1,1,0,YES,C:\project\static\Images\Serum\Wardah Acnederm Acne Care Serum.png
27,Acnederm Acne Care Serum,Wardah,Kulit Kombinasi,"Jerawat, Minyak berlebih, Bekas jerawat, Kusam, Kemerahan pada kulit","5% Azeclair™, 0.5% Salicylic Acid, Tea Tree Oil, Hyaluronic Acid, Allantoin",1,1,1,1,1,1,1,1,0,YES,C:\project\static\Images\Serum\Wardah Acnederm Acne Care Serum.png
28,Acnederm Acne Care Serum,Wardah,Kulit Berminyak,"Jerawat, Minyak berlebih, Bekas jerawat, Kusam, Kemerahan pada kulit","5% Azeclair™, 0.5% Salicylic Acid, Tea Tree Oil, Hyaluronic Acid, Allantoin",1,1,1,1,1,1,1,1,0,YES,C:\project\static\Images\Serum\Wardah Acnederm Acne Care Serum.png
29,Acnederm Acne Care Serum,Wardah,Kulit Berjerawat,"Jerawat, Minyak berlebih, Bekas jerawat, Kusam, Kemerahan pada kulit","5% Azeclair™, 0.5% Salicylic Acid, Tea Tree Oil, Hyaluronic Acid, Allantoin",1,1,1,1,1,1,1,1,0,YES,C:\project\static\Images\Serum\Wardah Acnederm Acne Care Serum.png
30,Acnederm Acne Care Serum,Wardah,Kulit Sensitif,"Jerawat, Minyak berlebih, Bekas jerawat, Kusam, Kemerahan pada kulit","5% Azeclair™, 0.5% Salicylic Acid, Tea Tree Oil, Hyaluronic Acid, Allantoin",1,1,1,1,1,1,1,1,0,YES,C:\project\static\Images\Serum\Wardah Acnederm Acne Care Serum.png
31,Hydra Rose 14X Hyaluronic Pentavitin Deep Barrier Repair Serum,Wardah,Kulit Normal,"Skin barrier rusak, Dehidrasi, Sensitif","14x Hyaluron, 1% Pentavitin, Allantoin, β-Glucan",1,0,1,1,1,0,1,1,1,YES,C:\project\static\Images\Serum\Wardah Hydra Rose 14X Hyaluronic Pentavitin Deep Barrier Repair Serum.png
32,Hydra Rose 14X Hyaluronic Pentavitin Deep Barrier Repair Serum,Wardah,Kulit Kering,"Skin barrier rusak, Dehidrasi, Sensitif","14x Hyaluron, 1% Pentavitin, Allantoin, β-Glucan",1,0,1,1,1,0,1,1,1,YES,C:\project\static\Images\Serum\Wardah Hydra Rose 14X Hyaluronic Pentavitin Deep Barrier Repair Serum.png
33,Hydra Rose 14X Hyaluronic Pentavitin Deep Barrier Repair Serum,Wardah,Kulit Kombinasi,"Skin barrier rusak, Dehidrasi, Sensitif","14x Hyaluron, 1% Pentavitin, Allantoin, β-Glucan",1,0,1,1,1,0,1,1,1,YES,C:\project\static\Images\Serum\Wardah Hydra Rose 14X Hyaluronic Pentavitin Deep Barrier Repair Serum.png
34,Hydra Rose 14X Hyaluronic Pentavitin Deep Barrier Repair Serum,Wardah,Kulit Berminyak,"Skin barrier rusak, Dehidrasi, Sensitif","14x Hyaluron, 1% Pentavitin, Allantoin, β-Glucan",1,0,1,1,1,0,1,1,1,YES,C:\project\static\Images\Serum\Wardah Hydra Rose 14X Hyaluronic Pentavitin Deep Barrier Repair Serum.png
