No,Nama Produk,Brand,Jenis Kulit,Masalah Kulit,Kandungan Utama,Alcohol-Free,Fragrance-Free,Non-Comedogenic,Oil Control,Hydrating,Brightening,Anti Acne,Soothing,Anti Aging,Cocok,Image
19,Pore Tightening Toner,Wardah,Kulit Normal,"Pori-pori besar, Minyak berlebih, Jerawat ringan","Aloe Vera, Lactic Acid, Glycolic Acid",1,0,1,1,0,0,1,1,0,NO,C:\project\static\Images\Toner\Wardah Pore Tightening Toner.png
20,Pore Tightening Toner,Wardah,Kulit Berminyak,"Pori-pori besar, Minyak berlebih, Jerawat ringan","Aloe Vera, Lactic Acid, Glycolic Acid",1,0,1,1,0,0,1,1,0,YES,C:\project\static\Images\Toner\Wardah Pore Tightening Toner.png
21,Pore Tightening Toner,Wardah,Kulit Berjerawat,"Pori-pori besar, Minyak berlebih, Jerawat ringan","Aloe Vera, Lactic Acid, Glycolic Acid",1,0,1,1,0,0,1,1,0,YES,C:\project\static\Images\Toner\Wardah Pore Tightening Toner.png
22,Pore Tightening Toner,Wardah,Kulit Kombinasi,"Pori-pori besar, Minyak berlebih, Jerawat ringan","Aloe Vera, Lactic Acid, Glycolic Acid",1,0,1,1,0,0,1,1,0,YES,C:\project\static\Images\Toner\Wardah Pore Tightening Toner.png
23,Pore Tightening Toner,Wardah,Kulit Kering,"Pori-pori besar, Minyak berlebih, Jerawat ringan","Aloe Vera, Lactic Acid, Glycolic Acid",1,0,1,1,0,0,1,1,0,NO,C:\project\static\Images\Toner\Wardah Pore Tightening Toner.png
24,Pore Tightening Toner,Wardah,Kulit Sensitif,"Pori-pori besar, Minyak berlebih, Jerawat ringan","Aloe Vera, Lactic Acid, Glycolic Acid",1,0,1,1,0,0,1,1,0,NO,C:\project\static\Images\Toner\Wardah Pore Tightening Toner.png
25,Bright Stuff Exfoliating Toner,Emina,Kulit Normal,"Kusam, Tekstur kulit kasar","5% PHA, Oxybiome, Niacinamide, Summer Plum",1,0,1,1,0,1,0,0,0,NO,C:\project\static\Images\Toner\Emina Bright Stuff Exfoliating Toner.png
26,Bright Stuff Exfoliating Toner,Emina,Kulit Kering,"Kusam, Tekstur kulit kasar","5% PHA, Oxybiome, Niacinamide, Summer Plum",1,0,1,1,0,1,0,0,0,NO,C:\project\static\Images\Toner\Emina Bright Stuff Exfoliating Toner.png
27,Bright Stuff Exfoliating Toner,Emina,Kulit Sensitif,"Kusam, Tekstur kulit kasar","5% PHA, Oxybiome, Niacinamide, Summer Plum",1,0,1,1,0,1,0,0,0,NO,C:\project\static\Images\Toner\Emina Bright Stuff Exfoliating Toner.png
28,Bright Stuff Exfoliating Toner,Emina,Kulit Kombinasi,"Kusam, Tekstur kulit kasar","5% PHA, Oxybiome, Niacinamide, Summer Plum",1,0,1,1,0,1,0,0,0,YES,C:\project\static\Images\Toner\Emina Bright Stuff Exfoliating Toner.png
29,Bright Stuff Exfoliating Toner,Emina,Kulit Berminyak,"Kusam, Tekstur kulit kasar","5% PHA, Oxybiome, Niacinamide, Summer Plum",1,0,1,1,0,1,0,0,0,YES,C:\project\static\Images\Toner\Emina Bright Stuff Exfoliating Toner.png
30,Bright Stuff Exfoliating Toner,Emina,Kulit Berjerawat,"Kusam, Tekstur kulit kasar","5% PHA, Oxybiome, Niacinamide, Summer Plum",1,0,1,1,1,1,0,0,0,NO,C:\project\static\Images\Toner\Emina Bright Stuff Exfoliating Toner.png
31,Ms. Pimple Acne Solution Face Toner,Emina,Kulit Berjerawat,"Jerawat aktif, Minyak berlebih","Rosebay Willowherb Extract, Zinc Gluconate, Glycerin",1,0,1,1,0,0,1,0,1,YES,C:\project\static\Images\Toner\Emina Ms Pimple Acne Solution Face Toner.png
32,Ms. Pimple Acne Solution Face Toner,Emina,Kulit Berminyak,"Jerawat aktif, Minyak berlebih","Rosebay Willowherb Extract, Zinc Gluconate, Glycerin",1,0,1,1,0,0,1,0,0,YES,C:\project\static\Images\Toner\Emina Ms Pimple Acne Solution Face Toner.png
33,Ms. Pimple Acne Solution Face Toner,Emina,Kulit Kombinasi,"Jerawat aktif, Minyak berlebih","Rosebay Willowherb Extract, Zinc Gluconate, Glycerin",1,0,1,1,0,0,1,0,0,YES,C:\project\static\Images\Toner\Emina Ms Pimple Acne Solution Face Toner.png
34,Ms. Pimple Acne Solution Face Toner,Emina,Kulit Normal,"Jerawat aktif, Minyak berlebih","Rosebay Willowherb Extract, Zinc Gluconate, Glycerin",1,0,1,1,0,0,1,0,1,NO,C:\project\static\Images\Toner\Emina Ms Pimple Acne Solution Face Toner.png
35,Ms. Pimple Acne Solution Face Toner,Emina,Kulit Kering,"Jerawat aktif, Minyak berlebih","Rosebay Willowherb Extract, Zinc Gluconate, Glycerin",1,0,1,1,0,0,1,0,0,NO,C:\project\static\Images\Toner\Emina Ms Pimple Acne Solution Face Toner.png
36,Ms. Pimple Acne Solution Face Toner,Emina,Kulit Sensitif,"Jerawat aktif, Minyak berlebih","Rosebay Willowherb Extract, Zinc Gluconate, Glycerin",1,0,1,1,0,0,1,0,0,NO,C:\project\static\Images\Toner\Emina Ms Pimple Acne Solution Face Toner.png
37,Ms. Pimple Acne Solution Exfoliating Toner,Emina,Kulit Berjerawat,"Jerawat aktif, Komedo, Pori-pori besar","Rosebay Willowherb, Mild BHA, Zinc Gluconate",1,0,1,1,0,0,1,0,1,YES,C:\project\static\Images\Toner\Emina Ms. Pimple Acne Solution Exfoliating Toner.png
38,Ms. Pimple Acne Solution Exfoliating Toner,Emina,Kulit Berminyak,"Jerawat aktif, Komedo, Pori-pori besar","Rosebay Willowherb, Mild BHA, Zinc Gluconate",1,0,1,1,0,0,1,0,0,YES,C:\project\static\Images\Toner\Emina Ms. Pimple Acne Solution Exfoliating Toner.png
39,Ms. Pimple Acne Solution Exfoliating Toner,Emina,Kulit Kombinasi,"Jerawat aktif, Komedo, Pori-pori besar","Rosebay Willowherb, Mild BHA, Zinc Gluconate",1,0,1,1,0,0,1,0,0,YES,C:\project\static\Images\Toner\Emina Ms. Pimple Acne Solution Exfoliating Toner.png
40,Ms. Pimple Acne Solution Exfoliating Toner,Emina,Kulit Normal,"Jerawat aktif, Komedo, Pori-pori besar","Rosebay Willowherb, Mild BHA, Zinc Gluconate",1,0,1,1,0,0,1,0,1,NO,C:\project\static\Images\Toner\Emina Ms. Pimple Acne Solution Exfoliating Toner.png
41,Ms. Pimple Acne Solution Exfoliating Toner,Emina,Kulit Kering,"Jerawat aktif, Komedo, Pori-pori besar","Rosebay Willowherb, Mild BHA, Zinc Gluconate",1,0,1,1,0,0,1,0,0,NO,C:\project\static\Images\Toner\Emina Ms. Pimple Acne Solution Exfoliating Toner.png
42,Ms. Pimple Acne Solution Exfoliating Toner,Emina,Kulit Sensitif,"Jerawat aktif, Komedo, Pori-pori besar","Rosebay Willowherb, Mild BHA, Zinc Gluconate",1,0,1,1,0,0,1,0,0,NO,C:\project\static\Images\Toner\Emina Ms. Pimple Acne Solution Exfoliating Toner.png
43,Bright Stuff Face Toner,Emina,Kulit Normal,"Kusam, Warna kulit tidak merata, Dehidrasi ringan","Summer Plum, Niacinamide, Tocopheryl, AHA",1,0,1,0,1,1,0,0,0,YES,C:\project\static\Images\Toner\Emina Bright Stuff Face Toner.png
44,Bright Stuff Face Toner,Emina,Kulit Kering,"Kusam, Warna kulit tidak merata, Dehidrasi ringan","Summer Plum, Niacinamide, Tocopheryl, AHA",1,0,1,0,1,1,0,0,0,YES,C:\project\static\Images\Toner\Emina Bright Stuff Face Toner.png
45,Bright Stuff Face Toner,Emina,Kulit Sensitif,"Kusam, Warna kulit tidak merata, Dehidrasi ringan","Summer Plum, Niacinamide, Tocopheryl, AHA",1,0,1,0,1,1,0,0,0,NO,C:\project\static\Images\Toner\Emina Bright Stuff Face Toner.png
46,Bright Stuff Face Toner,Emina,Kulit Kombinasi,"Kusam, Warna kulit tidak merata, Dehidrasi ringan","Summer Plum, Niacinamide, Tocopheryl, AHA",1,0,1,0,1,1,0,0,0,YES,C:\project\static\Images\Toner\Emina Bright Stuff Face Toner.png
47,Bright Stuff Face Toner,Emina,Kulit Berminyak,"Kusam, Warna kulit tidak merata, Dehidrasi ringan","Summer Plum, Niacinamide, Tocopheryl, AHA",1,0,1,0,1,1,0,0,0,NO,C:\project\static\Images\Toner\Emina Bright Stuff Face Toner.png
48,Bright Stuff Face Toner,Emina,Kulit Berjerawat,"Kusam, Warna kulit tidak merata, Dehidrasi ringan","Summer Plum, Niacinamide, Tocopheryl, AHA",1,0,1,0,1,1,0,0,0,NO,C:\project\static\Images\Toner\Emina Bright Stuff Face Toner.png
49,Skin Buddy Face Toner,Emina,Kulit Normal,"Sensitif, Dehidrasi ringan, Kemerahan","Calendula, Hyaluronic Acid, Aloe Vera, Chamomile",1,0,1,0,1,0,0,1,0,YES,C:\project\static\Images\Toner\Emina Skin Buddy Face Toner.png
50,Skin Buddy Face Toner,Emina,Kulit Kering,"Sensitif, Dehidrasi ringan, Kemerahan","Calendula, Hyaluronic Acid, Aloe Vera, Chamomile",1,0,1,0,1,0,0,1,0,YES,C:\project\static\Images\Toner\Emina Skin Buddy Face Toner.png
51,Skin Buddy Face Toner,Emina,Kulit Sensitif,"Sensitif, Dehidrasi ringan, Kemerahan","Calendula, Hyaluronic Acid, Aloe Vera, Chamomile",1,0,1,0,1,0,0,1,0,NO,C:\project\static\Images\Toner\Emina Skin Buddy Face Toner.png
52,Skin Buddy Face Toner,Emina,Kulit Kombinasi,"Sensitif, Dehidrasi ringan, Kemerahan","Calendula, Hyaluronic Acid, Aloe Vera, Chamomile",1,0,1,0,1,0,0,1,0,YES,C:\project\static\Images\Toner\Emina Skin Buddy Face Toner.png
53,Skin Buddy Face Toner,Emina,Kulit Berminyak,"Sensitif, Dehidrasi ringan, Kemerahan","Calendula, Hyaluronic Acid, Aloe Vera, Chamomile",1,0,1,0,1,0,0,1,0,NO,C:\project\static\Images\Toner\Emina Skin Buddy Face Toner.png
54,Skin Buddy Face Toner,Emina,Kulit Berjerawat,"Sensitif, Dehidrasi ringan, Kemerahan","Calendula, Hyaluronic Acid, Aloe Vera, Chamomile",1,0,1,0,1,0,0,1,0,NO,C:\project\static\Images\Toner\Emina Skin Buddy Face Toner.png
55,Miraculous Retinol Toner,Avoskin,Kulit Normal,"Tanda Penuaan, Garis Halus, Tekstur Kasar","Actosome Retinol, Niacinamide, Peptide, Pomegranate",1,1,1,1,1,1,1,0,1,YES,C:\project\static\Images\Toner\Avoskin Miraculous Retinol Toner.png
56,Miraculous Retinol Toner,Avoskin,Kulit Kering,"Tanda Penuaan, Garis Halus, Tekstur Kasar","Actosome Retinol, Niacinamide, Peptide, Pomegranate",1,1,1,1,1,1,1,0,1,YES,C:\project\static\Images\Toner\Avoskin Miraculous Retinol Toner.png
57,Miraculous Retinol Toner,Avoskin,Kulit Kombinasi,"Tanda Penuaan, Garis Halus, Tekstur Kasar","Actosome Retinol, Niacinamide, Peptide, Pomegranate",1,1,1,1,1,1,1,0,1,YES,C:\project\static\Images\Toner\Avoskin Miraculous Retinol Toner.png
