No,Nama Produk,Brand,Jenis Kulit,Masalah Kulit,Kandungan Utama,Alcohol-Free,Fragrance-Free,Non-Comedogenic,Oil Control,Hydrating,Brightening,Anti Acne,Soothing,Anti Aging,Cocok,Image
19,Vitamin C + 8X NMF Amino Radiant Charge,Wardah,Kulit Normal,"Kusam, Kering, Warna kulit tidak merata","Vitamin C, NMF Amino",1,0,0,0,1,1,0,1,0,NO,C:\project\static\Images\Facial Wash\Wardah Vitamin C + 8X NMF Amino Radiant Charge Gel Cleanser.png
20,Vitamin C + 8X NMF Amino Radiant Charge,Wardah,Kulit Berminyak,"Kusam, Kering, Warna kulit tidak merata","Vitamin C, NMF Amino",1,0,0,0,1,1,0,1,0,NO,C:\project\static\Images\Facial Wash\Wardah Vitamin C + 8X NMF Amino Radiant Charge Gel Cleanser.png
21,Vitamin C + 8X NMF Amino Radiant Charge,Wardah,Kulit Sensitif,"Kusam, Kering, Warna kulit tidak merata","Vitamin C, NMF Amino",1,0,0,0,1,1,0,1,0,NO,C:\project\static\Images\Facial Wash\Wardah Vitamin C + 8X NMF Amino Radiant Charge Gel Cleanser.png
22,Vitamin C + 8X NMF Amino Radiant Charge,Wardah,Kulit Kombinasi,"Kusam, Kering, Warna kulit tidak merata","Vitamin C, NMF Amino",1,0,0,0,1,1,0,1,0,NO,C:\project\static\Images\Facial Wash\Wardah Vitamin C + 8X NMF Amino Radiant Charge Gel Cleanser.png
23,Vitamin C + 8X NMF Amino Radiant Charge,Wardah,Kulit Berjerawat,"Kusam, Kering, Warna kulit tidak merata","Vitamin C, NMF Amino",1,0,0,0,1,1,0,1,0,NO,C:\project\static\Images\Facial Wash\Wardah Vitamin C + 8X NMF Amino Radiant Charge Gel Cleanser.png
24,Vitamin C + 8X NMF Amino Radiant Charge,Wardah,Kulit Kering,"Kusam, Kering, Warna kulit tidak merata","Vitamin C, NMF Amino",1,0,0,0,1,1,0,1,0,YES,C:\project\static\Images\Facial Wash\Wardah Vitamin C + 8X NMF Amino Radiant Charge Gel Cleanser.png
25,Mineral Clarifying Facial Foam,Wardah,Kulit Kombinasi,Minyak berlebih,"Clarifying Mineral, CarboActiv",1,0,1,1,0,0,0,0,0,YES,C:\project\static\Images\Facial Wash\Wardah Mineral Clarifying Facial Foam.png
26,Mineral Clarifying Facial Foam,Wardah,Kulit Kering,Minyak berlebih,"Clarifying Mineral, CarboActiv",1,0,1,1,0,0,0,0,0,NO,C:\project\static\Images\Facial Wash\Wardah Mineral Clarifying Facial Foam.png
27,Mineral Clarifying Facial Foam,Wardah,Kulit Berjerawat,Minyak berlebih,"Clarifying Mineral, CarboActiv",1,0,1,1,0,0,0,0,0,NO,C:\project\static\Images\Facial Wash\Wardah Mineral Clarifying Facial Foam.png
28,Mineral Clarifying Facial Foam,Wardah,Kulit Sensitif,Minyak berlebih,"Clarifying Mineral, CarboActiv",1,0,1,1,0,0,0,0,0,NO,C:\project\static\Images\Facial Wash\Wardah Mineral Clarifying Facial Foam.png
29,Mineral Clarifying Facial Foam,Wardah,Kulit Normal,Minyak berlebih,"Clarifying Mineral, CarboActiv",1,0,1,1,0,0,0,0,0,NO,C:\project\static\Images\Facial Wash\Wardah Mineral Clarifying Facial Foam.png
30,Mineral Clarifying Facial Foam,Wardah,Kulit Berminyak,Minyak berlebih,"Clarifying Mineral, CarboActiv",1,0,1,1,0,0,0,0,0,YES,C:\project\static\Images\Facial Wash\Wardah Mineral Clarifying Facial Foam.png
31,C-Defense Creamy Wash,Wardah,Kulit Normal,"Kusam, Paparan polusi, Pori-pori kotor","Vitamin C, Panthenol",1,0,1,1,1,1,0,0,0,YES,C:\project\static\Images\Facial Wash\Wardah C-Defense Vitamin C + Panthenol Anti-Pollution Radiant Creamy Wash.png
32,C-Defense Creamy Wash,Wardah,Kulit Kering,"Kusam, Paparan polusi, Pori-pori kotor","Vitamin C, Panthenol",1,0,1,1,1,1,0,0,0,YES,C:\project\static\Images\Facial Wash\Wardah C-Defense Vitamin C + Panthenol Anti-Pollution Radiant Creamy Wash.png
33,C-Defense Creamy Wash,Wardah,Kulit Kombinasi,"Kusam, Paparan polusi, Pori-pori kotor","Vitamin C, Panthenol",1,0,1,1,1,1,0,0,0,YES,C:\project\static\Images\Facial Wash\Wardah C-Defense Vitamin C + Panthenol Anti-Pollution Radiant Creamy Wash.png
34,C-Defense Creamy Wash,Wardah,Kulit Berminyak,"Kusam, Paparan polusi, Pori-pori kotor","Vitamin C, Panthenol",1,0,1,1,1,1,0,0,0,YES,C:\project\static\Images\Facial Wash\Wardah C-Defense Vitamin C + Panthenol Anti-Pollution Radiant Creamy Wash.png
35,C-Defense Creamy Wash,Wardah,Kulit Sensitif,"Kusam, Paparan polusi, Pori-pori kotor","Vitamin C, Panthenol",1,0,1,1,1,1,0,0,0,NO,C:\project\static\Images\Facial Wash\Wardah C-Defense Vitamin C + Panthenol Anti-Pollution Radiant Creamy Wash.png
36,C-Defense Creamy Wash,Wardah,Kulit Berjerawat,"Kusam, Paparan polusi, Pori-pori kotor","Vitamin C, Panthenol",1,0,1,1,1,1,0,0,0,NO,C:\project\static\Images\Facial Wash\Wardah C-Defense Vitamin C + Panthenol Anti-Pollution Radiant Creamy Wash.png
37,Aloe Hydramild Facial Wash,Wardah,Kulit Normal,"Kulit kering, Dehidrasi, Sensitif, Iritasi ringan","Aloe Vera Extract, Triple Hydrating",1,0,1,0,1,0,0,1,0,YES,C:\project\static\Images\Facial Wash\Wardah Aloe Hydramild Facial Wash.png
38,Aloe Hydramild Facial Wash,Wardah,Kulit Kering,"Kulit kering, Dehidrasi, Sensitif, Iritasi ringan","Aloe Vera Extract, Triple Hydrating",1,0,1,0,1,0,0,1,0,YES,C:\project\static\Images\Facial Wash\Wardah Aloe Hydramild Facial Wash.png
39,Aloe Hydramild Facial Wash,Wardah,Kulit Berminyak,"Kulit kering, Dehidrasi, Sensitif, Iritasi ringan","Aloe Vera Extract, Triple Hydrating",1,0,1,0,1,0,0,1,0,NO,C:\project\static\Images\Facial Wash\Wardah Aloe Hydramild Facial Wash.png
40,Aloe Hydramild Facial Wash,Wardah,Kulit Berjerawat,"Kulit kering, Dehidrasi, Sensitif, Iritasi ringan","Aloe Vera Extract, Triple Hydrating",1,0,1,0,1,0,0,1,0,NO,C:\project\static\Images\Facial Wash\Wardah Aloe Hydramild Facial Wash.png
41,Aloe Hydramild Facial Wash,Wardah,Kulit Sensitif,"Kulit kering, Dehidrasi, Sensitif, Iritasi ringan","Aloe Vera Extract, Triple Hydrating",1,0,1,0,1,0,0,1,0,NO,C:\project\static\Images\Facial Wash\Wardah Aloe Hydramild Facial Wash.png
42,Aloe Hydramild Facial Wash,Wardah,Kulit Kombinasi,"Kulit kering, Dehidrasi, Sensitif, Iritasi ringan","Aloe Vera Extract, Triple Hydrating",1,0,1,0,1,0,0,1,0,YES,C:\project\static\Images\Facial Wash\Wardah Aloe Hydramild Facial Wash.png
43,Crystal Secret Clarifying Foaming Cleanser,Wardah,Kulit Berjerawat,"Kusam, Warna kulit tidak rata","NMF Amino, AHA PHA",1,0,1,0,0,1,0,0,0,NO,C:\project\static\Images\Facial Wash\Wardah Crystal Secret NMF Amino + AHA PHA Clarifying Foaming Cleanser.png
44,Crystal Secret Clarifying Foaming Cleanser,Wardah,Kulit Kering,"Kusam, Warna kulit tidak rata","NMF Amino, AHA PHA",1,0,1,0,0,1,0,0,0,NO,C:\project\static\Images\Facial Wash\Wardah Crystal Secret NMF Amino + AHA PHA Clarifying Foaming Cleanser.png
45,Crystal Secret Clarifying Foaming Cleanser,Wardah,Kulit Sensitif,"Kusam, Warna kulit tidak rata","NMF Amino, AHA PHA",1,0,1,0,0,1,0,0,0,NO,C:\project\static\Images\Facial Wash\Wardah Crystal Secret NMF Amino + AHA PHA Clarifying Foaming Cleanser.png
46,Crystal Secret Clarifying Foaming Cleanser,Wardah,Kulit Kombinasi,"Kusam, Warna kulit tidak rata","NMF Amino, AHA PHA",1,0,1,0,0,1,0,0,0,NO,C:\project\static\Images\Facial Wash\Wardah Crystal Secret NMF Amino + AHA PHA Clarifying Foaming Cleanser.png
47,Crystal Secret Clarifying Foaming Cleanser,Wardah,Kulit Normal,"Kusam, Warna kulit tidak rata","NMF Amino, AHA PHA",1,0,1,0,0,1,0,0,0,NO,C:\project\static\Images\Facial Wash\Wardah Crystal Secret NMF Amino + AHA PHA Clarifying Foaming Cleanser.png
48,Crystal Secret Clarifying Foaming Cleanser,Wardah,Kulit Berminyak,"Kusam, Warna kulit tidak rata","NMF Amino, AHA PHA",1,0,1,0,0,1,0,0,0,NO,C:\project\static\Images\Facial Wash\Wardah Crystal Secret NMF Amino + AHA PHA Clarifying Foaming Cleanser.png
49,Perfect Bright Cooling Bright Facial Foam,Wardah,Kulit Normal,"Kusam, Kulit kering, Kulit tidak segar","Bright Berries, Vitamin Beads",1,0,1,0,1,1,0,1,0,YES,C:\project\static\Images\Facial Wash\Wardah Perfect Bright Cooling Bright Jelly Facial Foam.png
