No,Nama Produk,Brand,Jenis Kulit,Masalah Kulit,Kandungan Utama,Alcohol-Free,Fragrance-Free,Non-Comedogenic,Oil Control,Hydrating,Brightening,Anti Acne,Soothing,Anti Aging,UV Protection,Cocok,Image
16,Cica Complex + Panthenol Ceramide Calm & Soothe Gel Moisturizer,Wardah,Kulit Kombinasi,"Kulit iritasi ringan, Kemerahan, Skin barrier rusak","Cica Complex, Panthenol, Ceramide, Niacinamide B3, Allantoin",1,1,1,1,1,0,1,1,0,NO,YES,C:\project\static\Images\Moisturizer\Wardah Cica Complex + Panthenol Ceramide Calm & Soothe Gel Moisturizer.png
17,Cica Complex + Panthenol Ceramide Calm & Soothe Gel Moisturizer,Wardah,Kulit Sensitif,"Kulit iritasi ringan, Kemerahan, Skin barrier rusak","Cica Complex, Panthenol, Ceramide, Niacinamide B3, Allantoin",1,1,1,1,1,0,1,1,0,NO,YES,C:\project\static\Images\Moisturizer\Wardah Cica Complex + Panthenol Ceramide Calm & Soothe Gel Moisturizer.png
18,Cica Complex + Panthenol Ceramide Calm & Soothe Gel Moisturizer,Wardah,Kulit Berjerawat,"Kulit iritasi ringan, Kemerahan, Skin barrier rusak","Cica Complex, Panthenol, Ceramide, Niacinamide B3, Allantoin",1,1,1,1,1,0,1,1,0,NO,YES,C:\project\static\Images\Moisturizer\Wardah Cica Complex + Panthenol Ceramide Calm & Soothe Gel Moisturizer.png
19,Vitamin C + Adenosine Radiant Charge Gel Moisturizer,Wardah,Kulit Normal,"Kulit kusam, Skin barrier rusak","Vitamin C, Adenosine, Silver Vine, Allantoin",1,0,1,1,1,1,1,1,1,NO,YES,C:\project\static\Images\Moisturizer\Wardah Vitamin C + Adenosine Radiant Charge Gel Moisturizer.png
20,Vitamin C + Adenosine Radiant Charge Gel Moisturizer,Wardah,Kulit Kering,"Kulit kusam, Skin barrier rusak","Vitamin C, Adenosine, Silver Vine, Allantoin",1,0,1,1,1,1,1,1,1,NO,YES,C:\project\static\Images\Moisturizer\Wardah Vitamin C + Adenosine Radiant Charge Gel Moisturizer.png
21,Vitamin C + Adenosine Radiant Charge Gel Moisturizer,Wardah,Kulit Berminyak,"Kulit kusam, Skin barrier rusak","Vitamin C, Adenosine, Silver Vine, Allantoin",1,0,1,1,1,1,1,1,1,NO,YES,C:\project\static\Images\Moisturizer\Wardah Vitamin C + Adenosine Radiant Charge Gel Moisturizer.png
22,Vitamin C + Adenosine Radiant Charge Gel Moisturizer,Wardah,Kulit Kombinasi,"Kulit kusam, Skin barrier rusak","Vitamin C, Adenosine, Silver Vine, Allantoin",1,0,1,1,1,1,1,1,1,NO,YES,C:\project\static\Images\Moisturizer\Wardah Vitamin C + Adenosine Radiant Charge Gel Moisturizer.png
23,Vitamin C + Adenosine Radiant Charge Gel Moisturizer,Wardah,Kulit Sensitif,"Kulit kusam, Skin barrier rusak","Vitamin C, Adenosine, Silver Vine, Allantoin",1,0,1,1,1,1,1,1,1,NO,NO,C:\project\static\Images\Moisturizer\Wardah Vitamin C + Adenosine Radiant Charge Gel Moisturizer.png
24,Vitamin C + Adenosine Radiant Charge Gel Moisturizer,Wardah,Kulit Berjerawat,"Kulit kusam, Skin barrier rusak","Vitamin C, Adenosine, Silver Vine, Allantoin",1,0,1,1,1,1,1,1,1,NO,YES,C:\project\static\Images\Moisturizer\Wardah Vitamin C + Adenosine Radiant Charge Gel Moisturizer.png
25,C-Defense Mousse Moisturizer,Wardah,Kulit Normal,"Kulit kusam, Pori besar","Moistprime Tech, SPF 15 PA++, Hi-Grade Vitamin C",1,0,1,1,1,1,1,1,0,YES,YES,C:\project\static\Images\Moisturizer\Wardah C-defense Mousse Moisturizer.png
